"","snippet.title","stock_name","statistics.viewCount","statistics.likeCount","statistics.dislikeCount","statistics.favoriteCount","statistics.commentCount","snippet.publishedAt","snippet.channelTitle"
"94","IS IT TOO LATE TO BUY TESLA STOCK? - TSLA STOCK SPLIT + BATTERY DAY!","TSLA","13590","1212","12","0","337","2020-09-01T16:59:01Z","Jack Spencer Investing"
"95","IS IT TOO LATE TO BUY VIRGIN GALACTIC STOCK NOW? - BUY SPCE STOCK NOW!","NA","8979","494","8","0","139","2020-07-10T15:59:05Z","Jack Spencer Investing"
"96","IS JOE BIDEN PUMPING WORKHORSE STOCK? WKHS STOCK NEWS!","WKHS","14828","1385","11","0","263","2021-01-27T14:54:51Z","Jack Spencer Investing"
"97","IS LORDSTOWN MOTORS STOCK A BUY NOW? DPHC STOCK ANALYSIS!","RIDE","13706","1310","7","0","261","2020-09-26T16:59:01Z","Jack Spencer Investing"
"98","IS NIKOLA THE NEXT TESLA?! - NIKOLA AND VTIQ MERGER! - BUY NIKOLA STOCK NOW?","NKLA","1954","136","5","0","68","2020-05-13T13:27:18Z","Jack Spencer Investing"
"99","IS PROTERRA STOCK A BUY RIGHT NOW? ACTC STOCK ANALYSIS!","NA","8119","426","6","0","86","2021-01-13T17:59:01Z","Jack Spencer Investing"
"100","IS THIS 12 CENT STOCK ABLE TO KEEP IT'S MOMENTUM? TAUG STOCK ANALYSIS","CENT","15986","775","21","0","199","2021-01-04T18:59:01Z","Jack Spencer Investing"
"101","IS THIS THE NEXT BIG EV STOCK?! ARRIVAL STOCK ANALYSIS - CIIC STOCK!","AAVL","32938","2032","43","0","497","2020-11-19T15:59:02Z","Jack Spencer Investing"
"102","IS VIRGIN GALACTIC STOCK A MILLIONAIRE MAKER? SPCE STOCK ANALYSIS!","NA","16158","1160","15","0","260","2020-07-18T14:59:14Z","Jack Spencer Investing"
"103","LEMONADE STOCK WILL BE HUGE! - DISRUPTIVE TECH - LMND STOCK ANALYSIS!","LMND","16880","1045","26","0","288","2020-07-28T16:59:08Z","Jack Spencer Investing"
"104","LORDSTOWN MOTORS GOING PUBLIC VIA SPAC!! - BIG WORKHORSE STOCK NEWS!","WKHS","21116","1919","21","0","514","2020-08-03T15:59:07Z","Jack Spencer Investing"
"105","LORDSTOWN MOTORS SHORT ATTACK! IS IT THE TRUTH? RIDE STOCK NEWS.","RIDE","14776","849","162","0","402","2021-03-13T16:59:01Z","Jack Spencer Investing"
"106","LORDSTOWN MOTORS STOCK ANALYSIS! THE NEXT BIG EV? BUY DPHC STOCK NOW?!","RIDE","15521","1060","20","0","337","2020-08-04T15:59:11Z","Jack Spencer Investing"
"107","LORDSTOWN MOTORS STOCK BREAKOUT SOON? RIDE STOCK PRICE PREDICTIONS!","RIDE","10611","755","21","0","156","2020-11-04T15:59:03Z","Jack Spencer Investing"
"108","LORDSTOWN MOTORS STOCK IS BOOMING! - DPHC STOCK NEWS!","RIDE","15650","1462","7","0","303","2020-08-26T15:59:02Z","Jack Spencer Investing"
"109","LORDSTOWN MOTORS STOCK PRICE PREDICTION. RIDE STOCK! 100K PRE-ORDERS.","RIDE","9580","732","7","0","148","2021-01-12T16:59:01Z","Jack Spencer Investing"
"110","LORDSTOWN MOTORS STOCK SHOULD BE MORE EXPENSIVE. RIDE STOCK NEWS.","RIDE","11857","1041","13","0","261","2021-01-09T18:59:01Z","Jack Spencer Investing"
"111","LUCID MOTORS STOCK IS GOING INSANE! CCIV STOCK NEWS!","RIDE","23402","1240","25","0","340","2021-01-15T16:59:01Z","Jack Spencer Investing"
"112","MASSIVE CARNIVAL CRUISE LINE NEWS! BUY CCL STOCK NOW?","CCL","7746","361","17","0","166","2020-06-18T17:59:31Z","Jack Spencer Investing"
